"logFC" "logCPM" "F" "PValue" "FDR"
"CD163" 3.02542693305016 6.23688564375169 77.5123307692794 1.90807632463863e-17 2.67665660119867e-15
"IGHA2" -4.44099304589452 3.55615329987754 77.3501871271909 2.04960881938609e-17 2.8485767017579e-15
"JUN" -2.97223707721797 6.08790028457305 77.0598966258807 2.32985414948196e-17 3.20835878749763e-15
"SEMA6D" 6.38413636118562 5.59900110607317 76.9503134291892 2.445382982611e-17 3.33683623354465e-15
"WNT7A" 7.53511703771018 4.42834400433129 76.8810926297245 2.52130654542374e-17 3.4094424546676e-15
"RPL30" -1.67157684734865 7.94949466994805 76.639225664493 2.80567009182034e-17 3.76009893555566e-15
"SPINT2" -2.73874405880654 4.90412887468076 76.5196243350899 2.95797161940097e-17 3.9291286732043e-15
"IFI16" 1.82574965808861 8.46094293589401 76.4026885942484 3.11490336073906e-17 4.10128942497309e-15
"RPL41" -1.45615714143457 10.3289702889213 75.9306747718148 3.83809281265466e-17 5.00954548851708e-15
"CXCL9" 4.45728285592568 7.48866916211681 75.4009560276941 4.85248437336215e-17 6.27894745208326e-15
"EEF1D" -2.46928574242364 5.58287063176085 75.2022133190107 5.29909508289999e-17 6.79824078584008e-15
"RPL9" -2.46397566995602 6.02462247665437 75.1705381955234 5.37399435197849e-17 6.83590298501671e-15
"C20orf85" -2.52370620002901 6.09426770099346 74.9486223046361 5.92941896866654e-17 7.47904022854494e-15
"RPL27A" -2.04628902140651 7.01978552537785 74.7266025681357 6.54281186479687e-17 8.18396717421675e-15
"ZNFX1" 1.94736355747516 8.43095258353075 74.6650301547199 6.72394179633856e-17 8.34102201347453e-15
"UQCRQ" -2.71609894603674 4.2988021471322 74.3522906346734 7.7247002726307e-17 9.50391402394974e-15
"BLOC1S1" -3.21683224858492 3.75327929185488 74.2187914696166 8.19623458493825e-17 1.00020716357661e-14
"CD300E" 4.01586565542144 4.99757153261838 74.1849936515251 8.32012990329283e-17 1.00713830522924e-14
"TAC4" 6.20348558429319 6.00279513458193 74.0073416615029 9.00296321987883e-17 1.08107582344305e-14
"CES1" -3.0559925315729 5.65790044535272 73.8763505246008 9.54224864285385e-17 1.13673930261299e-14
"RPS27" -2.20322290820563 7.329469960517 73.854741238512 9.6342799160096e-17 1.13866568141184e-14
"FLT1" 5.8446330230129 7.49028223130872 73.7618821372491 1.00400088779149e-16 1.17734791607424e-14
"GRIA4" 6.22179322360923 4.67158240286562 73.6106056155712 1.07380560349815e-16 1.24944357430289e-14
"RHOB" -2.38866988114587 5.64321335873373 73.2754647975186 1.24631028122303e-16 1.43900902470444e-14
"SIM1" 6.12579514627213 3.09080318135236 73.1662967695721 1.30830863527202e-16 1.49906203171245e-14
"ALOX15P1" 5.92420372360766 6.37317132877224 73.0125002525704 1.40094378370062e-16 1.59304289343532e-14
"C11orf97" -3.79365788526693 2.45096504975266 72.4971891738401 1.76209900794494e-16 1.98865459468071e-14
"GPX4" -2.23561367872646 5.95163777505459 72.4721195539015 1.78188094000216e-16 1.99597260518153e-14
"FAM180B" 5.61431671354712 4.95371537885279 71.9868839166217 2.21190187067673e-16 2.45930719102649e-14
"RPL19" -1.96215502371685 8.11059421889858 71.1978339657186 3.1449795178256e-16 3.47103989430605e-14
"RPL27" -1.94541601498147 6.3595307533282 70.953054070639 3.50817513904019e-16 3.84362838226228e-14
"MYC" -3.94599618591603 2.23214393041193 70.8449932755151 3.68164075377607e-16 4.00445128363615e-14
"OAS1" 2.57749289686778 7.67462924745854 70.6668861745843 3.98655143832872e-16 4.30490194887152e-14
"APOL6" 1.80175073527981 8.37764130091081 70.577581898936 4.14885555973468e-16 4.44816585368697e-14
"SLAMF7" 3.48435316701924 7.49818255874638 70.3348536229275 4.62432401411411e-16 4.92277329445764e-14
